,zipcode,street_address,person_recovered_from_race,ucr_category
14547,40241,4900_Heathmoore_Ct,White,Stolen_Property
14551,40241,4900_Heathmoore_Ct,White,Stolen_Property
14555,40241,4900_Heathmoore_Ct,White,Stolen_Property
14559,40211,3800_Vermont_Ave,Black,Narcotics
14560,40202,300_E_Washington_St,Black,Wpns_Law_Violation
14561,40220,3100_Hill_Park_Ct,Black,Aggravated_Assault
14563,40220,3100_Hill_Park_Ct,Black,Aggravated_Assault
14565,40220,3100_Hill_Park_Ct,Black,Aggravated_Assault
14567,40214,400_E_Southside_Ct,Asian,Aggravated_Assault
14568,40118,400_Northgate_Rd,White,Aggravated_Assault
14570,40272,4100_Summertime_Pky,White,Simple_Assault
14573,40272,4100_Summertime_Pky,White,Simple_Assault
14576,40272,4100_Summertime_Pky,White,Simple_Assault
14579,40202,600_W_Jefferson_St,,Stolen_Property
14580,40215,1600_Phyllis_Ave,Black,Wpns_Law_Violation
14581,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14582,40272,10700_Tarrytowne_Dr,White,Narcotics
14583,40215,3400_Glendale_Ave,White,Narcotics
14584,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14585,40272,10500_Grafton_Hall_Rd,White,Narcotics
14590,40272,10500_Grafton_Hall_Rd,White,Narcotics
14595,40272,10500_Grafton_Hall_Rd,White,Narcotics
14600,40272,10500_Grafton_Hall_Rd,White,Narcotics
14605,40272,10500_Grafton_Hall_Rd,White,Narcotics
14610,40210,1300_S_26th_St,Black,Wpns_Law_Violation
14611,40211,2900_Wilson_Ave,,Wpns_Law_Violation
14612,40220,3200_Norma_Ln,White,Narcotics_Equip
14613,40202,600_W_Jefferson_St,Black,Stolen_Property
14614,40215,3600_Elderwood_Way,White,Aggravated_Assault
14617,40210,2200_Greenwood_Ave,Black,Wpns_Law_Violation
14618,40202,600_W_Jefferson_St,,Narcotics
14619,40202,600_W_Jefferson_St,Black,Wpns_Law_Violation
14620,40212,400_S_26th_St,Black,Aggravated_Assault
14622,40212,400_S_26th_St,Black,Aggravated_Assault
14624,40202,600_W_Jefferson_St,Black,Intimidation
14625,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14627,40202,600_W_Jefferson_St,,Wpns_Law_Violation
14630,40211,2900_W_Kentucky_St,Black,Wpns_Law_Violation
14631,40202,600_W_Jefferson_St,Black,Narcotics
14632,40291,9600_Marceitta_Way,White,Stolen_Property
14633,40202,600_W_Jefferson_St,,Narcotics
14636,40202,600_W_Jefferson_St,Black,Burglary
14637,40202,600_W_Jefferson_St,Black,Aggravated_Assault
14638,40215,1000_W_Whitney_Ave,White,Aggravated_Assault
14640,40215,1000_W_Whitney_Ave,White,Aggravated_Assault
14642,40291,10100_Bardstown_Rd,White,Burglary
14644,40291,10100_Bardstown_Rd,White,Burglary
14646,40212,2700_W_Main_St,,Aggravated_Assault
14647,40214,400_Douglas_Park,Black,Robbery
14648,40202,600_W_Jefferson_St,Black,Stolen_Property
14649,40202,600_W_Jefferson_St,Black,Narcotics
14650,40220,100_Breckinridge_Sq,Black,Aggravated_Assault
14651,40202,100_N_4th_St,Black,Narcotics
14653,40202,100_N_4th_St,Black,Narcotics
